IDRestaurant,Comment_new,rating_encoded
1,thưởng_thức tươi_ngon tây_tây ướp chiên rám thích bùi_càng thơm không_như không_nào rời,2
1,kết_hợp grabfod_trọng không_nói kiểm_trà kêu lười không_nói nugest bánh_tây tây vồ đói kêu đồng_ý đại đi cười xíu lừa_đảo xíu không_liên_quan bạch hình_thức gói xắn chất_lượng không_tốt lắm đồ_ăn chút_xíu đen đen chấp_nhận dạy lắm chứng_kiến điện không_hiểu lắm làm_ăn dạy đi ăn_ở nguyễn_huệ trọng_hình không_giống chửi_thầm cạch mãi bí xài_mã không_lên ngợi khô rảnh không_tốt không_mình toàn đi chê tệ xài vồ lừa khuyến_mãi đỡ tức lừa_đảo mcdonals dichvukem,0
1,đi ăn_ở đồ_ăn ổn không_nói nói_chuyện đợi nhận_thức_ăn cầm nói_chuyện kém đùa_đùa khó_chịu cầm đọc đọc liên_tục đùa lủi đi chả đùa đem nghệ nhầm đọc ất_ơ bảo đọc chuyên_nghiệp lịch_sự không_hiểu nói_chuyện khô đọc lọt không đứng lừa_mẹ đọc đọc đùa đi ăn_uống lừa thế_này không,1
1,ngon dòn thơm mền thấm_vị khô ngon chấm ngon mgang,2
1,thịnh_vượng sốt ngon không_thấy kết_hợp,2
1,ghé khám_phá thử gửi thoải_mái rộng mát_lạnh lầu_vực ngoài_trời tuột chạy_nhảy tổ_chức nhật ấn_tượng đổi cảm_ứng cắm tiện thích_vực sốt tương_cà ớt thoải_mái riêng_tư lắm sót_trọng rán_vị ngon_tây tây mặn,2
1,đi miễn_phí sốt ngon,2
1,lượn shope_đổi mã sẵn đi đói ghé nửa_đêm quán vắng gửi đưa_mã giòn chiên kẹp giòn đi hút tương tỏi mù đa_dạng kẹp lát mỏng lát_dưa giòn mayo khô hơi khô_tây tây chiên hơi nguội bưng dọn đặt_hàng chấp_nhận mát hơi đơ đau tiêu_chảy nằm ôm ăn_ở hơi sợ,2
1,đặt_hàng kẹp,0
1,nằm vòng khô thoáng thích chất_lượng thích thích đẹp_mắt ngon phục_vụ điểm_tâm khô bàn trừ ồn_ào ổn,2
1,kẹp,1
1,nóng ngon_giòn ngon dễ_thương phục_vụ nhanh_chóng thoáng_mát rộng_rãi hơi ồn_ào tuyệt_vời nhiệt_tình,2
1,tặng ứng_dụng tặng tặng chiên tặng áp_dụng ví_dụ tặng ngon trừ không ồn_ào không_trách,2
1,dẹp đi hàng_không trách_nhiệm đừng báo chế,0
1,xì_gòn ngon khô thử thèm rán ghé đặt_hàng cực chạy quánh gửi đặt_hàng chạy quánh đi khô gửi chờ ánh_sáng ấm_cúng lắm dịu mát cực đẹp ổn toàn đẹp đồ_ăn ngon kẹp tiết_kiệm không_quá mỏng mặn đỡ giòn hơi,2
1,táo đem nóng_hổi xào mềm mọng táo hơi thơm đẹp tử_tế thái_độ,2
1,miễn_phí thử đa_kao thoáng đẹp đông nhanh_chóng_nhẹn nóng giòn kèm mayonaise ngon trừ lựa thích thích khô khuyến_mãi kèm miễn_phí,2
1,thử kết_hợp ngon chấm đa_dạng hơi đông vệ nhanh_chóng_chóng,2
1,nằm mặt_tiền chấm không_hợp_khẩu vị lắm,2
1,hơi đắt_giá lựa rẻ,2
1,ngon,2
1,đặt_hàng phô tương_cà lừa không_ăn điện_thoại nhiệt_tình điện_thoại xác gửi tội_nghiệp chạy chạy chạy kẹp_thịt đồng_ý sửa ấn_tượng tốt chạy_chứng bánh_mì kẹp_thịt không_là nhiêu quân_trọng tương_đối đỡ cám_ơn giúp cám_ơn,2
1,lừa thích ghé bận chạy dặn mừng cánh_gà đuồi khóc ròng không_lẻ chạy đổi lừa ghé vô dặn đi dặn miếng không_xương đem đồ_chơi lừa lego không_quạt nghịch_phá chạy đổi lừa tỏ chju nghỉ mặc dép_lào xách đem vô_đổi định chiêng vô lừa mà_còn tỏ khách_hàng tỏ thái_độ quyết đổi chạy vô tởn già thân_thiện uống từ_chối gửi văn_phòng đa_kao,1
1,mở_đầu lừa đồng_ý khỏe túm gọn test đi không_đúng thực_đơn thôi_trót đi test ấn_tượng đồng_ý vị cắn ăn_thử sốt mặn mặn lắm lát hashbrown mị không_hợp thưởng_thức nổi cứng bắt_buộc xài mứt_dâu không_hảo_chấm sốt thích bite thử tương_ớt không sốt mị chấm hơi chả nhạt kèm sốt hổng_khớp thít trộn kẹp đồng_ý bổ_trợ ổn đắt đi đừng đùa chờ lừa_nít quấy mị lừa_nít đồng_ý đi không_đúng ăn_không kết_luận thử ngon lắm khóc ròng,2
1,đắt tốt không_rộng_rãi trẻ,2
1,đi trẻ lừa cười_tớ bấm bấm hóa_đơn cầm tiến cười đông nhanh_chóng lắm loáng ưng cười_tớ không_đánh_giá cười gấp ngon cửa_hàng kẹp ngon khóc ròng_phần đầy_đặn ướt_át thơm mùi_vị khóc ròng_phô miếng thơm_ngậy lắm khóc_ròng kẹp ngâm bớt ngán cười tớ_nghĩ rưới tạt hòa khóc ròng_thịt mcnugets chụp thực cười sốt kèm hải_hộp thử sốt_tớ ngon thích mù tạt_mật chấm ngon cười trông bé cắn chất_lượng lắm cười tây_tây chiên trọng_ảnh đặc_sắc lắm mãi kiểu át đi_vị lạnh đừng đá uống nhạt_nhẽo lắm uống khóc ròng_yêu bluebery không_ưng lắm hơi không_hơn bé gây_gây hỏng cứng giòn_vị không_gọi không_cực_kì rộng khả_năng yên_tâm yêu tiếp_xúc chuyên_nghiệp vẻ lắm thích thích lắm thích,2
1,đi học ghé chủ_nhật không_hiểu đào_tạo nói_chuyện thừa đặt_hàng đem đi không_ngồi định đem uống nhấn_mạnh tệ kém_văn vô_cùng xấc_xược đuổi cổ đi nói_chuyện nạt vô_mặt khô không_cho đừng tỏ hách không_ăn ứng_xử đem đi ghé không_tôi gửi dịch_vụ xịn không_giờ tốt ghé,0
1,tạt nhanh_chóng lắm bây chạy đi chưng tư_vấn nhập tư_vấn đi tiếp xuất hóa_đơn hóa đi á_mình hái cười hình_như hơi bé hơi bé ngon tây_tây chiên lắm đựng xíu tây_tây chiên tệ không_thích cầm cầm chạy cầm chảy tạt kịp chảy đành quăng chảy nhanh_chóng lắm hơi chảy_xíu chạy đi đành lau thích phục_vụ lịch_sự tốt tốt_trừ phục_vụ đi cầm_kì,2
1,thèm matcha thèm,2
1,rộng rộng thoáng mát nội_thất bàn_ghế sạch_sẽ đông thức_ăn uống nhanh_chóng chiên giòn tươi đẹp_mắt bánh_vị hơi nhạt ổn chấm ngon_gà tốt,2
1,đi đỗ giải_thích đậu_trễ bực_mình không_hề khô định đi ô_tô đi đông thức_ăn miễn_phí gửi chẳng rõ_ràng viết_định đừng bảng đậu miễn_phí bảo_phí đậu bực_bội khách_hàng,1
1,ổn sánh khô ổn ăn_md đơn_điệu rộng_rãi cấm công_thoáng ngắm,2
1,thức_ăn hình_như đi đông lắm thử công_nhận khô đi đồ_ăn đi chạy quầy_toán đi tiếp khô khô tiếp giá_cả hơi_chát chờ giảm_giá lựa mừng đi á_cười folow_myanhnguyenthi yêu,2
1,ghé nhánh thích snopy ăn_phần mừng không_thích lắm bực_mình kêu đi phục_vụ lừa vô kêu thích uống lạnh trọng_hộp trần hưng_đạo liền dập tắt uống lạnh vô oi đựng nhiệt_tình dễ_thương ưa cấm đầu thôi_miễn,0
1,trú thẳng tiến thoáng thất_vọng nhà_vệ,2
1,thoáng rộng đỗ khách_hàng đi lên_tâm không_ở mát,2
1,kẹp tạm không_dập tắt lắm sốt nudget sẵn sốt tỏi thích sốt kèm lắm,2
1,thèm chạy nhánh nhanh_chóng_chóng lắm chạy thẳng chạy vòng_toán tiện_lợi ngon ngon,2
1,kết_hợp rẻ thích,2
1,ấn_tượng gấp mãi ngạc_nhiên ngon ổn ngon thích bánh_mì kẹp lịch_sự,2
1,ghé mừng suất hoạt_động nhịp_nhàng hố đi nhánh lơ_ngơ_kết_hợp lựa_chọn đổi chính_trọng kẹp filet bánh_mì kẹp phụ thử nudget rùi thử kẹp filet ưng bánh_mì kẹp cà_chua đơn_giản ưng kẹp đầy_đủ nóng đồng_ý chiên sốt sốt ngon đi chấm sướng trọng_thời,2
1,đặt_hàng tráng đặt_hàng đặt_hàng thức_ăn đứng bàn đồ_chơi mừng bật đứng đầu_vào cầm đứng đợi cực tán_dóc đứng dõi làm_việc tắt giỡn đứng chờ khô ứng_xử kém mời hướng_dẫn đứng chờ kém_văn chấp_nhận đi,0
1,rộng_rãi ngoài_trời thích ngon_cảm_nhận vị dẻo nhúng vụn kẻo_mềm chảy nóng_hổi tụ_hợp thơm chua_nồng ngon tặng,2
1,chương mừng hơi kẹp kẹp đi kết_hợp chiên kẹp không kẹp phô_chua không kẹp ngon chuyên,2
1,ghé nằm vòng khô vồ sẵn địa_điểm popeyes nhập địa_chỉ không rộng thành rộng_rãi tiện lựa_chọn ổn nudget nudget sốt chấm_trọng sẵn hơi ấm sốt_trọng đen trọng_hộp đen mặn mụi mù_tạc mật tỏi ngon ngó không_á chấm thử,2
1,không_ăn rủ giới_thiệu mừng đầy_đủ thức_ăn thử kết_hợp kết_hợp lựa kẹp lê nugest kẹp hơi ăn_không lắm chiên thích sốt ngon thích mù tạt thoáng mát,2
1,nhanh_chóng nguyên,2
1,thất_vọng dơ hôi_hám lau dọn tệ,0
1,phục_vụ nở_vẻ nặng_mày nhẹ nhẹ uống uống hợp_khẩu hơi ngán cách_phục chuyên,2
1,ăn_ở mưa đi tấp nằm vòng đi ổn kêu cà_phê ăn_phần kết_hợp bình_thường mùi_vị lắm không_và thích không_hảo hơi bình_thường kẹp ổn,2
1,thích không_ở rán đẹp nhất_tây thích rán chuyên chiên nước_ngoài,2
1,tận_tình kết_hợp gấp nước_lớn tặng khảog đem không_thiếc kẹp ghê_ghê mềm bịch bánh_grentea hóa không_giờ,0
1,đậu giá_cả ổn thích bánh_bò khô sốt chấm kèm thức_ăn ngon lạ mù mật_nghệ chuyên_nghiệp nhanh_chóng chóng,2
1,hà_nội cất_công đi không_đẹp tiện_lợi đông_đúc í đi phục_vụ đồ_ăn hiển_thị hét chạy đi,2
1,nằm đắc_địa không_rộng_rãi đậu giá_cả ổn mùi_vị trọng_đình tắt không_mặn_mà lắm ruột nhà_hàng không_hiểu việt_nam thành ăn_hạng cười phục_vụ chuyện_nghiệp nghiêm_khắc thích ngại_ngùng xareview,2
2,bằm bớt bằm không_hề không_đâu trắng tốt trừ đặt_hàng bàn_cãi dưa_cải đổi thành mặn khô bệnh_yếu nổi mong chọn_lựa_chọn bửa_ăn thích_thú,1
3,chuẩn khô thiệt_trọng không_rảnh khô đặt_hàng khô đợi ăn_nghĩ rảnh lắm đặt_hàng bận thì_tự chạy không_dám không_chờ đồng_hồ ăn_phần cười,0
3,bảo_quán hóa_đơn đi,0
3,nhánh tệ bảo_vệ đóng hất dắt đi thứ_lầu dơ quét_dọn bọ_nhặng khắp_nơi hòa không hôi chiên nguội nguội cứng thất_vọng xuống_cấp,1
3,ức chú_ý dặn điện_thoại,0
3,đi tag đăng ngon bánh_mật ngon hơi đá không_béo lắm,2
3,ngon không_xương,2
3,khóc ròng chất_lượng,2
3,cũ dày không_dám ăn_gà khô ăn_nhánh ngon,1
3,thử khô loteria thích tương_ớt bắt_vị nóng giòn,2
3,mê thức_ăn nhanh_chóng thương_hiệu thử texsas mê_tít hẳn khô khô bắp_cảu trộn giúp ăn_đỡ ngán hẳn uống phục_vụ nhanh_chóng nhanh_chóng,2
3,nằm trần rộng hầu_như tiện_lợi không_ngồi rộng_rãi thoải_mái tạm khô không_xài phục_vụ nhanh_chóng lẹ đông cải_trộn nước_ngọt uống thích,2
3,đặc_phần vọng cẩn_thân,1
3,nghiền không_thèm báo,0
3,chạy ngon ngon tệ đông lết thậm_tệ tương_cà ngon xách đổ tương_là mặt_bằng mắc khô rán làm_vậy trọng_gà không_xuống,0
3,thèm rán ưu_đãi đặt_hàng khô đặt_hàng nhanh_chóng giòn_tây tây chiên giòn chiên đậm_vị ngon lạnh lạnh_xíu,2
3,rán ổn giòn không_xương_tây tây thích tây_tây tụi thích ăn_ở đổ chiên truyền_thống ngán lắm bánh_nướng không_đồng_ý,2
3,đi ăn_ở crunch_trọng kèm cải_trộn vừabvà_tây tây chiên thích tây_tây chiên chiên kèm ngon yêu_thích khô không_quá hơi ngán,2
3,đói rủ đồng_nghiệp đặt_hàng không_là uống nước_ngọt nóng_giòn nhánh không_đó rán giòn truyền_thống sốt,2
3,nghệ_ngợi đặt_hàng thử nhạt nhẽo_tây mềm_xèo tạm_biệt,1
3,rán đòi bảo không_giờ đặt_chân vô gọi_là mặc trọng_bọn đi mỏi kết_hợp tự_nhiên xuất sát biên_xuất bảo chờ bưng khô kéo không_thấy lù_lù không_thấy đáp bực viêb cãi nguội chẳng ngon lục ngặt nhét không_tiếp_cận cố ngó đứng đảo đi bảo_vệ quán dắt đi lặng đi đi xỏ đối_xử kém dịch_vụ tệ sản_phẩm không_ngon không_giờ,0
3,càng_ngày_càng khô siêu chẳng gọi_là lê xếp_hàng sốc tây_tây,0
3,mê tròn,2
3,nổi cười chào_đón cấm_ơn không_giờ,0
3,nguội sống khóc tươi thất_vọng nghỉ,1
3,không_xương cải_trộn beamin không_xương hóa_đơn nằm beamin khô không_ạ,0
3,ẩu_tả nổi,0
3,ứng_dụng baemin quăng tương_cà một_nửa chú_ý gói ăn_không vô,0
3,kết_hợp kết_hợp tổng chẳng tiền_tây tây tệ,0
3,đặt_hàng dặn shiper đùi tí_cánh ổn_nhánh thất_vọng,1
3,không_ngon nguội tệ,0
3,thảo_mộc kẹp đợi hủy_đơn không_thiếc rán ăn_ở ủng_hộ vọng trọng_tương chú_ý giải_quyết,1
3,thảo_mộc bánh_mật lạ rắc thảo_mộc nêm_trọng lắm tây_tây chiên béo ngon bánh_thơm ưu_đãi thảo_mộc kết_hợp tick miễn_phí nha,2
3,thắc_mắc chả ngoại_trừ chát,1
3,gà_tán không_nhưng không_chờ bảo nhẹ giòn rám nguyên ăn_thả không_mát_mẻ hơi ồn đông không_trách thích tĩnh_lặng hơi khó_tính dễ_chịu thân_thiện lắm ủng_hộ không,2
3,giòn không_bở thức_ăn dễ_thương,2
3,đi lỡ chỉ_bảo chụp chứng_nhân_dân nhanh_chóng gọn rộng_rãi đi đông rửa rửa kèm ngon không_bàn chết_mê rụm dzat thở thở tốt ngon khô chiên cọng đổ thích ăn_ngọt lắm giới_thiệu đắt đi kèm,2
3,tốt nguội gửi bảo_vệ nói_thẳng cộc khô,0
3,kêu không_xương,1
3,đề_nghị phục_vụ không_thèm,1
3,đi học kết_hợp sốt mật_tráng cải_trộn sốt ớt không_ăn yên_tâm bự thân_thiện gửi ăn_cỡ,2
3,tệ tiếp kém tạt đặt_hàng báo chờ chờ kêu chờ tiếp kém đặt_hàng không_giờ,0
3,dặn kỹ tốn không_ăn ức_chế lắm làm_ăn kì_trọng dám,0
3,nguội chiên đặt_hàng không_xương kèm chiên nước_ngọt,2
3,cười không_rộng rộng lắm ngoài_trời đấu ghé làm_việc hơi dọn_dẹp hiền tốt lắm tận_tình,2
3,không_nĩa,1
3,đọc giải_quyết khô khô không_không_lẽ cầm cắn xác_nhận yếu ăn_đồ đau,1
3,hợp_lý mê ăn_nóng thấm_vị không_bị khô miễn_phí đổ uống tiết_kiệm đi đông,2
3,ăn_ở không_thoáng nóng ngon_tây tùy nguội thử béo lạ_lạ thích ăn_phô đồ_béo không_hạp lắm,2
3,bàn không_quá chật phục_vụ gửi rán xứng hơi giòn chiên không_thấy nóng_giòn phủ đùi ướp không_bị ruột thơm đổ hơi nhẹ tương_cà chua,2
3,nóng giòn ổn bánh_mật lạt ăn_chán,1
3,lọc,2
3,giòn_tây tây chiên ngon tương_đương không_bị ngấy,2
3,ngon không_cành không_nói không_về trọng_hình sốt,2
3,khô không_nhìn nguội lạnh kêu đổi tỏ đồ_ăn kế,1
3,cực_kỳ_tệ sắp_xếp tỏ không_nói không_nhầm bàn di_chuyển kéo điện_thoại trực tổng_đài tỏ khó_chịu phục_vụ đi_đôi thất_vọng ăn_ở,0
3,giòn_thơm ngon,2
3,không_mình tốt ngoại_trừ rộng dài_kéo gãy_chóng dắt nhẹ chân_chóng yếu dắt dắt_vầy hư bó,1
3,đi vô đồ_ăn lừa đậu đứng nằm bve_dungws chả khô nhắc cãi lừa đi cãi kiur già lãng_trí đòi đứng_tên đinh_giữ cãi định xài toàn lỡ hồng_lẻ lụm dán làm_khó bắt đi cũ đồng_ý chả mún đi gửi,2
3,tươi ngon uống thỏa_thích nóng,2
3,bí_bí thèm rán như_vầy không_ứ thích ăn_ở không_bị bở đổ ăn_bữa hợp_lý thèm,2
3,giảm_giá nghệ_đồn ức rụm không_bị dầu_mỡ đỏ đồng_ý uống đổ thích rộng_rãi thoải_mái nước_ngoài dễ_thương chút chạy đồng_ý,2
3,đặt_hàng kém nói_chuyện chiên mềm_ăn đau ăn_ở đi dễ_tính bất_xúc lắm làm_việc vẻ không_nghỉ đi riết_chã dám,1
3,giòn không_bị thấm ngon mê lắm ăn_đổi toàn đi phát_sợ cười hoài không_nổi sợ,2
3,tự_nhiên_hứng thèm quất yên_tâm ngon khôi_tây nguội chiên khô không_thích,2
3,đeo kém,1
3,đặt_hàng không_xương không_cho muỗng sẵn tệ,0
3,tư_hưng không thương ngon không_nguyên_chiên ngon,2
3,lộn đặt_hàng địa_điểm tốt_bụng chú_ý,0
3,ghé kêu ngon đổi giòn thích tương_ớt cười yêu,2
3,ăn_ở tây_tây thử giòn nóng phô_béo hơi mặn hành_lá không_liên_quân lắm bảo không_lấy_hành hăg,2
3,khô ăn_ở tại_chỗ tại_chỗ đi khô shiper thuê lỗi gói kiểm gấp,1
3,lãnh_hướng chạy chạy trái cắt rộng rộng không_đơn_giản_tông đỏ trắng đổ uống thích đầy_đặn hấp_dẫn hẳn sốt ngon_miệng đậm_đà nhánh ghé lắm hơi,2
3,đi ăn_ở ăn_thử ăn_ở nguyễn nguyễn_thực_sự tốt không_mấy đặt_hàng bảo lấy_ức đổ hầu_như toàn chiên đáng_giá nguyễn cho_ức mặn cực mặn nuốt nổi sốt không bưng xà_lách ngon máy_lạnh không_mở máy_lạnh ngộp thoải_mái ăn_uống nhánh nguyễn,0
3,ghé mát_mẻ lắm sốt hơi mặn ngon chấm_xíu ngon chiên giòn khô giòn thích xà_lách trộn đi,2
3,thích ăn_ghiền,2
3,mềm_juicy lắm khô hơi mặn hơi cọng hơi chiên phủ hấp_dẫn mặn mặn_phô mặn mặn lắm đỡ nạp,2
3,thức_ăn ổn khô tương_ớt ngon_nghiền uống đổ kèm ngon tây_tây mặn môt nữa_thể thơm béo_béo mặn mặn tuyệt_cười,2
3,ngon vô không_xương ngon tuyệt_cú tốt không_muốn mắc_công không_xương uống lọc uống,2
3,ngon giòn_thịt mềm ngon khô chấm ngon thích chấm đổ phá vỡ tắt,2
3,ngon ngon nóng giòn_tây hơi mặn_tây nghiền không_thích hambuger,2
3,nằm tư_trần nguyễn_thái_học không_như chụp đông học đông ngon nhất_trọng truyền_thống_vị ăn_không mặn nóng sốt_gỡ bốc thích lắm chua ngon xịn mặn,2
3,tươi ngon cắt nóng_hổi tây_tây cắt dày chiên chấm ghiện lắm ngon,2
3,thân_thiện nhiệt_tình tươi thích kèm ngon lắm uống í,2
3,nằm trò_chơi rẻ uống đổ ổn không_không kêu không bình_thường thích quản_trị_viên gấp đi phát gửi liền không_tầng mát_mẻ lắm,2
3,đi đi rẻ đổ nằm trường_học đông lào_công lau dọn sạch đồng_ý lắm tiết_kiệm,2
3,giá_cả hơi thích rán ngon ngon_tây tây xịn xịn ngon thích đổ tâm_dễ đông đợi lợi rấn yêu_thích,2
3,đổi không_thích kết_hợp ngon ổn khô vọng khô tương_ớt toàn mất_vị ngon đi,2
3,quyết_định đi chipotle bánh_bơ kèm chiên lạ_miệng hơi mặn không_thích_vị lắm thành,2
3,đi ộ nằm nguyễn_thái_học lãnh_dễ tím đi đông ngon không_bị ngấm dầu_ăn không_bị ẩm khô khô dạo chipotle hơi ngon gấp phần_ức thức_ăn tự_phục_vụ kém không_quá tốt sơ_suất hơi phiền dặn không_vẫn không_đông đứng đợi,2
3,đi đi toàn đặt_hàng nóng_giòn thơm tốt thơm khát uống nhiệt_tình thân_thiện lắm,2
3,ghé uống đói nóng_hổi chiên hơi mặn ổn,2
3,ăn_ở ngon lắm kiếm không_nhánh rộng_rãi thoáng mát kết_hợp bánh bơ_tây nghiền không_hết không_ngon hơi khô chiên giòn lắm bảo không_thích dở_thích đổ tẹt rẻ phục_vụ lịch_sự nhiệt_tình,2
3,đồng_ý cắt ngon tương_chấm ngon chín cảm_giác sát đỏ đỏ,2
3,dễ_thương quản_lí bơm trợn bặm_môi nuốt kêu nến thử đi không_nến thử xử_lí chất_lượng ướp ngon không_rộng_rãi ồn nhức nằm hơi khuất rẻ,1
3,ghé đông xếp_hàng nhanh_chóng tầm tầm ăn_tối đông đi kết_hợp không_gồm kết_hợp cười kết_hợp không_xương kèm chiên ưng xà_lách ngon làm_rửa nước_dư chiên răng_cưa kết_hợp trừ đông đợi nóng_hổi kèm không_hiểu lắm bình_thường cười,2
3,rảnh dạo nguội_tây trở đi nóng_tây giòn không_nước tốt,2
3,rán nóng_giòn tương_heinz đổ,2
3,ghé rèfil tây_tây chiên ngon lắm không_ngon đuọc chiên giòn ngon thơm đổ ngon ngon ngon không_thích nhạt thích bình_thương không_đặc_sắc lắm hơi rộng lắm bàn_ghế ổn tốt đên thèm rán buger,2
3,khoái ăn_ở ngon nhất_trọng uống uống thích ngon đông nằm_tâm,2
4,không_hiểu nấu_nướng không_hề gắp đổ mặn không_hiểu nấu dở bào thử cảnh_báo,0
4,đặt_hàng tập đũa không_nuốt nổi hủ_tiếu mắc không_xứng tệ,0
4,cà_rốt thừa khô,0
4,mắc_dở mà_còn,0
4,đặt_hàng đồ_ăn củ không_thấy sống nhão mắc mắc ngon không,0
4,giảm_giá rẻ chả giò chiên thơm trộn_thái thích nêm,2
4,thìa nấu ngon,2
4,củ thất_vọng chẳng toàn độn nếm mặn đặc_sắc khô gói sẵn kèm nguyên_lá đùng thiết_nghĩ quán nấu giới_thiệu tệ lắm,0
4,ngon cari kèm,2
4,ngon hơi mặn trộn ngon ngon sạch_sẽ,2
4,đồ_ăn ngon hơi mặn_nhạt tí,2
4,trực_tuyến bánh_tráng trộn gỏi ngon,2
4,ngon sạch_giá rẻ đồ_ăn không_mặn thoem,2
4,lỡ không_kịp chụp đựng nước_tương,2
5,đồng_ý,0
5,bánh thập_cẩm thúi bốc không_hiểu không_giờ,1
5,mặn vắt mặn tươi_ngon,0
5,bánh_thịt giá thập_cẩm ổn chê,2
5,hơi ngon tươi,2
5,không_và bình_luận đặt_hàng bánh thập_cẩm bánh_ít đồ_ăn lắm nguyên chà_bá á_cười ngon ấn_tượng đồ_ăn giá_cả ổn thích,2
5,lèo mặt_bằng tạm gói,1
5,thèm đặt_hàng toàn trúng trở dè miếng nguyên_miếng vụn chấm ăn_vã phê rẻ cảm_kích viết,2
5,thử dò đánh_liều bánh_ăn đi chả bánh_quẩy trông tí thở nóng_hổi kĩ vô ăn_nhạt hơi mặn chả bự_phết ngon cứng khô chấm kèm ngon lắm trừ vỡ mất_tiêu hơi buồn khách_sạn tô lắm chất_lượng nói_chuyện,2
5,thèm dạo đặt_hàng thử dè ưng_ý lắm đặt_hàng freship tổng thiệt_hại tròn tươi ưng thèm đặt_hàng_quán,2
5,thử tô ngon thử đặc đậm_đà hồi_xưa cực_kỳ ngon đậm_đà không_cũng ngon,2
5,hà_nội thử ruột đặt_hàng nóng_hổi thích đồ_ăn không_cho ủng_hộ không_kiếm khóc ròng khóc ròng khóc ròng,2
5,đồ_ăn chảy cọng nở làm_ăn cẩu_thả không_giữ,0
