ID,User,Time,Rating,Comment,IDRestaurant
30000,Nguyễn Hoàng Anh,9/10/2022 17:58,10,Ảnh nói không với sợ hãi mà không biết nữa man city đã có gì mới tháng đầu năm mới tl lại không có gì mới 6 tâm lý thuyết và thực hiện xịt cồn ở ngoài đời thực hiện xịt cồn ở ngoài đời,1623
30001,Tram Dona,7/10/2022 11:56,4,ảnh minh hoạ. vịt quay da ko giòn lắm. mềm. thịt không thấm gia vị lắm,1623
30002,pham hoang oanh,1/10/2022 17:14,6,"Chỗ thịt hơi cháy, với vẫn nhiều mỡ, ko có nước tương, chỉ có 2 bịch tương ớt. Mùi cháy hơi nặng. Ko bằng lần trước. Chắc tại lần trước mua nhiều với mua sớm ko mua tối Không giống hình",1623
30003,Kiều My,27-09-2022 10:42,8,Không co bánh mì,1623
30004,Vương Thanh,24-09-2022 00:10,10,"Ngon, hinh anh mang tinh nhan xuuuuuuuuuuuuuuuuuuuuuuuuuu",1623
30005,Ẩn Danh,6/9/2022 20:57,10,"Món ăn ngon, đóng gói cẩn thận thức ăn nhiều giá cả hợp lý đánh giá ok Đóng gói tốt Giá phải chăng Ngon xỉu! No căng bụng Thích: Vịt quay mật ong nửa con",1623
30006,pham hoang oanh,4/9/2022 14:19,10,Ăn nhanh quá ko kịp chụp hình luôn. Mà Ngon nha. 200gr hơi dư 1 người ăn xíu mà 2 người ăn thì thiếu. Sẽ mua nữa Thích: Heo quay miếng,1623
30007,Đào Hiển,24-08-2022 12:22,1,"Đặt gà nướng mật ong do quan niêm yết, quán giao gà quay, làm ơn để đúng tên sản phẩm đi Không làm đúng ghi chú",1623
30008,Ẩn Danh,26-07-2022 17:23,4,Làm dở tệ vậy mà cũng bán được tao chịu Không giống hình,1623
30009,sun,6/6/2022 18:49,10,"Giao hàng siêu nhanh,phần nữa con ko có bánh mì huhuhu Thích: Vịt quay mật ong nửa con",1623
30010,Trang Vuong,12/4/2022 14:43,10,Vịt rất ngon.,1623
30011,Đoàn Gia Khánh,16-03-2022 19:56,1,"không ngon, gà thì không có vị gì. bánh mì mềm, đồ *** lạnh mà còn bị thiêu, một đi không trở lại, hzzz",1623
30012,maihien1606,12/3/2022 15:31,4,"Thịt quay quá nhiều mỡ, rất rất nhiều mỡ, được có xíu nạc nhìn thôi đã ngán rồi",1623
30013,Ẩn Danh,26-02-2022 20:24,6,"Heo quay nhiều mỡ, da cũng k giòn, nhưng vừa ăn. Gói đẹp Thích: Bánh mì",1623
30014,Ẩn Danh,20-02-2022 20:31,4,"Heo quay hôi mùi vịt, dưa leo quán ko rửa luôn, ko ngon Không vệ sinh/an toàn Không hợp khẩu vị",1623
30015,Ẩn Danh,12/3/2022 15:31,10,"Dạ sản phẩm ngon, đóng gói cẩn thận, đã mua nhiều lần và rất hài lòng về chất lượng phục vụ Naon vil Đáng nói tốt Giá phải chăng",1623
30016,Ẩn Danh,26-02-2022 20:24,10,"Heo quay nhiều mỡ, da cũng k giòn, nhưng vừa ăn. Gói đẹp Thích: Bánh mì",1623
30017,Ẩn Danh,20-02-2022 20:31,2,"Heo quay hôi mùi vịt, dưa leo quán ko rửa luôn, ko ngon Không vệ sinh/an toàn Không hợp khẩu vị",1623
30018,Ẩn Danh,22-01-2022 19:56,10,"Dạ sản phẩm ngon, đóng gói cẩn thận, đã mua nhiều lần và rất hài lòng về chất lượng phục vụ Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng Thích: Vịt quay mật ong nửa con",1623
30019,nguyenlinh15101999,16-01-2022 12:48,10,"Giao hàng nhanh, đóng gói cẩn thận........",1623
30020,Ẩn Danh,26-12-2021 17:44,8,"Mùi thơm lắm mọi người. Heo quay thì hơi dai, hình như heo già hay gì á, cũng không được giòn, gà thì ok lắm nè ון Thích: Gà nướng ngũ vị",1623
30021,Vi,21-12-2021 13:38,10,Ngonnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn nnnnnnnnnnnn,1623
30022,Thu Ngọc,11/12/2021 20:23,10,"Ngon, nóng, mua mấy lần ra",1623
30023,Ẩn Danh,11/12/2021 13:17,10,Thịt heo quay ngon. Ngon nhất cái phần cải muối á. Nhưng mà phần nước chấm hơi thất vọng. Gói tương ót à @@ Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng Thích: Heo quay miếng,1623
30024,Ẩn Danh,8/12/2021 17:40,6,"Bị cháy, nhìn hình với ở ngoài là ok 1 lần và mãi mãi luôn, da heo miếng cứng miếng dẻo nhẹo Không giống hình",1623
30025,Thu Hương,5/12/2021 15:14,4,"Gà nhỏ xí :)) chắc con tầm 1ki quá, gà còn nghe mùi hôi kiểu chưa tới lứa đã làm, quay đi quay lại nhiều lần r khô. Không giống hình Thích: Dưa leo thêm",1623
30026,Ẩn Danh,4/12/2021 7:54,6,"Thịt nguội, hơi nhiều mỡ...",1623
30027,Danhdanh Kỳ,30-11-2021 11:08,10,"Rất ngon, có voucher nên rẻ tài cao Đóng gói tốt Giá phải chăng No căng bụng Thích: Vịt quay mật ong nửa con Bánh mì",1623
30028,nguyennga494,26-11-2021 17:40,8,"Đồ ăn ngon, nước chấm ngon nhiều. nhưng heo quay 40k dk có mấy miếng thôi. Vịt nửa con 190k thì ok. Vẫn tặng shop 5* nhưng mong cải thiện",1623
30029,tuyet.nhi303,19-11-2021 16:47,6,"Da mềm,k có nước chấm thịt khô nói chụg là chán........ Không giống hình",1623
30030,Bliss,17-11-2021 12:39,4,"Thịt heo quay nhiều mỡ, còn dầu rất nhiều, giống chiên lại, có nhiều chỗ cháy đen. @@ giá cao hơn mặt bằng chung ở bình dương nhưng chất lượng theo không kịp giá. 10 thì hết 7 như trong hình. Không hợp khẩu vị",1623
30031,Nguyên Nhỏ,7/11/2021 18:02,4,Nước chấm vịt quay đầu а ko có nước chấm sao mà ăn a • Sai/Thiếu món,1623
30032,Sang Đỗ,18-10-2021 18:49,4,"Vịt hơi khô, ko có đồ *** đi kèm. không ngon lắm.",1623
30033,Ẩn Danh,11/10/2021 12:05,10,"Đóng gói tốt, ngon, đã mua 2 lần và cảm thấy rất hài lòng. Có cơ hội sẽ tiếp tục ủng hộ Đóng gói tốt Giá phải chăng Ngon xỉu! No căng bụng Thích: Vịt quay mật ong nguyên con",1623
30034,Nguyễn thị phương Thu,10/10/2021 17:13,4,"Có vẻ như cũ hơi nhớt, đem đi kho nước tương có chừa lại 4,5 cục ăn bánh mì, ăn xong bị đau bụng, dưa chuột thì k rửa luôn, đất không ! Hazi",1623
30035,suka1987,6/10/2021 16:27,10,Giao hàng nhanh chóng chất lượng ổn so với mức giá sẽ ủng hộ lần sau,1623
30036,Ẩn Danh,5/10/2021 18:42,10,Món ngonnnnnnnnn Đóng gói tốt Giá phải chăng Thích: Bánh mì Gà nướng cay tóe lửa - 1 con,1623
30037,tinhtrucloc,4/10/2021 10:13,10,Ngon Ngon xỉu! Đóng gói tốt No căng bụng,1623
30038,Ẩn Danh,3/10/2021 11:27,8,"Giá phải chăng Gà ăn được, không nóng (rất rất nguội) nhưng thịt vẫn tươi. Cũng OK",1623
30039,Ẩn Danh,29-09-2021 18:54,8,Gà chưa cay lắm.... Quán chi nhanhhhh. Sẽ ủng hộ lạiiiiiiiii Đóng gói tốt Giá phải chăng No căng bụng Thích: Dưa leo thêm Bánh mì Gà nướng cay tóe lửa - 1 con,1623
30040,Anh Thư,21-09-2021 16:03,4,Phần gà khá khô nhìn k biết gà hay vịt,1623
30041,Nhàn,21-09-2021 10:15,4,hơi nguội,1623
30042,Quyên Bảo,6/8/2021 21:19,1,"Gà cũng ko hâm nóng lại, ăn thì mùi vịt hơn mùi gà trong khi đặt nguyên con gà, gà thì còn lông không, bán đã mắc hơn ngày thường rồi mà làm thì dở tệ hại. Không vệ sinh/an toàn",1623
30043,Hiếu Nguyễn,29-07-2021 14:51,6,Vịt không được nóng,1623
30044,Ngọc Quỳnh,22-07-2021 15:10,10,Dịch nhưng quán vẫn bán . Mua nhiều lần ở đây rồi . Nchung ngon lắm ạ Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng,1623
30045,Hải Nhók,22-07-2021 14:51,1,Đặc gà nướg giao gà quây,1623
30046,Ẩn Danh,17-07-2021 16:46,4,"Ngon, ướp vừa ăn, thịt nướng không khô, nhưng cho muối chấm cùng không ngon",1623
30047,Ẩn Danh,13-07-2021 18:19,10,"Đóng gói khá tốt, nhưng mà chỉ có ít dưa leo ăn kèm, nếu có thêm đồ *** thì sẽ hài lòng hơn",1623
30048,Yếnn Tiểuu,10/7/2021 6:49,6,Vịt nay hơi nhỏ,1623
30049,Ẩn Danh,30-06-2021 21:04,10,"Vịt vị đậm đà, nước chấm ngon, nhiều nấm mèo ăn đỡ ngán, ăn chung với bánh mì ăn ngon Ngon xỉu! Đóng gói tốt Giá phải chăng",1623
30050,Cdfv Merl7,25-02-2020 19:47,1,"Có nhiều chi nhánh nhưng chi nhánh này cực kỳ dỡ. Nhân viên không thân thiện, đồ ăn rất rất tệ. Cực kì nuốt không nổi. Chi nhánh khác thì ok Đóng gói chưa tốt Không vệ sinh/an toàn",1623
30051,Út Lêê,25-12-2019 10:54,1,"Thịt lạnh ngắt, chưa chín còn đỏ lòm máu, k ăn được Sai/Thiếu món",1623
30052,Bình Lê,24-12-2019 21:04,1,Món giao tới nguội lạnh như được để từ lâu!,1623
30053,HuyKun,17-12-2019 20:18,2,"Nướng gà không kỹ, tẩm ướp không đậm đà, ăn nhạt nhẽo.",1623
30054,maitram_24,9/12/2019 18:03,6,Vị đậm quá ướp nhạt lại xíu là ok,1623
30055,Sang,9/12/2019 7:38,4,Đặt bánh mì nhưng ko có hay sao cũng ko báo. Và vẫn thu tiền bánh mì. Gà khá nhiều dầu Sai/Thiếu món,1623
30056,Ngọc Nguyễn,4/12/2019 13:45,8,Nếu có muối ớt xanh thì hợp hơn,1623
30057,anhsang63,29-11-2019 15:56,10,tốt,1623
30058,Nguyen Thi My Phuong,9/3/2024 13:18,8,Quán quên nêm đường hay sao mà mắm nêm vừa mặn vừa *** huhu Không hợp khẩu vị,1624
30059,Thương Hoài,9/3/2024 11:44,10,Ngon lắm mọi người ơi nên mua rẻ ngon cực kỳ nên mua nha mọi người,1624
30060,ductrungtran2504,8/3/2024 16:48,10,OK ok ok nhe Gói nhanh giao nhanh đúng yêu câu fminh Shipper lịch sự Ngon xỉu!,1624
30061,ductrungtran2504,7/3/2024 12:17,10,Oke vừa miệng Shipper giao nhanh lịch sự Àm kaoxbsokfbskfn skal Ngon xỉu!,1624
30062,foodee_ezvsxv7h,4/3/2024 17:24,10,Giao hàng nhanh! Món ngon...mà bạn nói chứ không đc trải nghiệm thực tế. Thích: Bún Thịt Nướng Sữa gạo lứt,1624
30063,Ẩn Danh,4/3/2024 10:19,10,Giao hàng nhanh chóng Đồ ăn ngon sạch sẽ Ăn đủ no Nhưng mà hơi thiếu ớt để riêng Đóng gói tốt No căng bụng,1624
30064,Ẩn Danh,3/3/2024 13:01,8,"Giao hàng nhanh, đầy đủ. Chất lượng ok Hình ảnh chỉ mang tính chất nhận xu",1624
30065,Megane Bibi,29-02-2024 11:54,10,Okkkkkkkkkkkkkkkkk.... Thích: Bún Nem Nướng Bánh Bột Lọc Huế Nem Nướng thêm,1624
30066,Ẩn Danh,27-02-2024 19:29,10,"Đồ ăn rẻ mà ngon lắm luôn, mình tui ăn hết một phần bún với một phần nem luôn í Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng",1624
30067,Hỳ Ngdph,26-02-2024 18:05,8,"size hộp so với khổ giấy A4 nha, topping ngon, thịt nướng thơm vừa vị, phần chiên không bị hôi dầu cũng không bị ngấy dầu đâu, đóng gói sạch sẽ. Mỗi tội một khẩu phần hơi ít, không ăn no được đâu, ăn chơi thì được nhé. Rất đáng thử 2024/2/2",1624
30068,Ẩn Danh,25-02-2024 13:47,10,Ngon giá cả phải chăng đã mua ở đây nhiều lần. No căng ăn không hết kkkkk Ngon xỉu! Đóng gói tốt No căng bụng Thích: Bánh hỏi thịt nướng,1624
30069,foodee_4uwn56uc,24-02-2024 16:12,1,Rửa rau không sạch còn dơ có sâu còn sống,1624
30070,Nguyễn Thị Thùy Dương,24-02-2024 09:49,10,Thịt nhiều xĩu nhưng mà mình mua bánh hỏi với bún thịt nướng dặn mỗi bánh hỏi là kh cay nhưng quán lại nhầm bỏ cho mình cả 2 bịch nước mắm kh cay luôn nhà đúng lúc hết ớt nữa mới ác chớ Ngon xỉu! Đóng gói tốt Thích: Bún Thịt Nướng Bánh hỏi thịt nướng,1624
30071,Anh Tuan,23-02-2024 22:07,10,"Giao nhanh, đúng giờ. Đóng gói cẩn thận sạch sẽ bún ngon. Sẽ ủng hộ lần sau a kkkkkkkkkkkkkkkkkkkkkkk kkkkkkookokkkkkkokkkokkokkkkmkkmokk Giá phải chăng",1624
30072,Hồng Thu,22-02-2024 11:53,10,Ngon xỉu Đóng gói tốt No căng bụng Giá phải chăngg9999999999 Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng,1624
30073,Ẩn Danh,20-02-2024 09:20,10,Ngon jdjhdbdbdbd dhdjeoenbebe dhdjjdjhhhhbbvbbhjijhbbbbj,1624
30074,Quốc Việt,6/2/2024 13:11,10,"Thấy tính cho 4 sao mà thôi cũng k tới nỗi nào, chỉ là hơi ít chút.. ăn xong đói tiếp..",1624
30075,Hồng Thu,5/2/2024 11:43,10,Ngon xỉu Đóng gói tốt No căng bụng Giá phải chăng Đóng gói tốt Ngon xỉu! No căng bụng Giá phải chăng,1624
30076,Thu Giang,4/2/2024 10:24,10,"Mình ăn mặn nên thấy nước mắm hơi nhạt Còn lại thì ổn dễ ăn Cơ mà mình đặt có 1 phần bún nhưng lại nhận do như hình có 1 phần nưme *** thêm 1 bún thêm k pk quán có nhầm hay ship nhầm gì k ak Thích: Bún đặc biệt(thịt nướng,nem nướng,bò lá lốt)",1624
30077,Linh Thảo,3/2/2024 11:52,10,"Cuốn ngon nha mọi người, sạch sẽ. Nước chấm vừa ăn. Tài xế giao hàng nhanh.",1624
30078,duyenstellar25,2/2/2024 0:04,10,ngon tuyệt vời,1624
30079,phuonganhpham.92,31-01-2024 21:59,10,Hình ảnh mang tc nhận xu. Nem ngon. Giao hàng nhanh. Đồ ăn nhiều,1624
30080,Ẩn Danh,28-01-2024 13:35,6,"nhìn không nhiều lắm so với phần ăn tren hình huhu Không giống hình Thích: Bún thập cẩm nem nướng, thịt nướng Nem Nướng Ninh Hòa Nha Trang (Tặng Kèm Bún Và Dụng C...",1624
30081,Thắm,28-01-2024 10:40,4,đặt bánh hỏi mà lại đi giao bún thịt nướng..đặt ko đậu phộng mà để đậu phộng đầy luôn. Sai/Thiếu món Không làm đúng ghi chú,1624
30082,Truong Chinh,26-01-2024 21:52,10,"Giá cả phải chăng, làm đồ ăn rất nhanh, giao hàng cũng nhanh. Rất ngon Thích: Bánh hỏi - thịt nướng cuốn bánh tráng Nem Nướng Ninh Hòa Nha Trang (Tặng Kèm Bún Và Dụng C...",1624
30083,Ẩn Danh,24-01-2024 10:19,8,Cũng được ccссссссссссссс ссссссссссссссс CCCCCCCCCcccccc ccccccccccccccc cccccccCCCCCCCC,1624
30084,Ẩn Danh,23-01-2024 13:15,6,"Không cho đũa, không cho ớt, quán hay quên để ớt cho mình mấy lần rồi",1624
30085,Cả Mợ,23-01-2024 12:44,10,ngon nha ăn nhiều lần ở đây rồi vừa vi chuan vi mien trung luon nha sẽ quay lại,1624
30086,Hi Võ,20-01-2024 12:27,8,"Ăn cũng ổn, nhưng nhờ quán cho thêm trái ớt hoặc ớt thêm ạ",1624
30087,Ẩn Danh,17-01-2024 09:46,10,Ngon bdhdubdbdbdbdbdb dhdhhdjdjdjdbbdbd bdhdbdbdbvvvvv Thích: Bún Nem Nướng,1624
30088,Le Nhung,15-01-2024 20:06,10,trên cả tuyệt vời,1624
30089,quocbao123_123,15-01-2024 16:29,10,"Đồ ăn ngon, giá cả hợp lí săn được hai que nem nướng 1đ ăn tạm được, đóng gói gọn gàng sạch sẽ. Hình ảnh tượng trưng thôi tại quên chụp Ngon xỉu!",1624
30090,vanessanelson,14-01-2024 20:30,10,Nem nướng quán ni ngon nha mnnnnnnnnnnnnnnnnnnnnnnnnnnnn Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng,1624
30091,Ẩn Danh,14-01-2024 19:39,10,Ngon dhdhbdhdhdhdhbdbd dhdbjdjdjdbbdbdjdjdb,1624
30092,Trương Thị Mỹ Duyên,14-01-2024 19:30,10,Ngonnnnnnnnn~~~~~~~~~~~~~~~~~~~~~~~~nnnnn nnnnnnnnn Ngon xỉu!,1624
30093,nhuthiu,14-01-2024 12:28,10,"Thích: Bún thập cẩm nem nướng, thịt nướng Bún Nem Nướng",1624
30094,Pé Moon,13-01-2024 08:52,8,Mọi thứ đều ổn.toping nhiều.ăn no.chỉ nước mắm đầm đà xíu nữa là ngon hơn.nước mắm khá nhạt Thích: Bún chả ram hải sản . Nước sâm bông cúc mát lạnh Bánh hỏi đặc biệt,1624
30095,nguyenanhduong28,10/1/2024 11:34,10,"Ăn khá ngon và hợp ý, đóng gói rất sạch sẽ, số lượng đồ ăn khá ổn, nên ăn Đóng gói tốt No căng bụng Ngon xỉu! Thích: Bún thập cẩm nem nướng, thịt nướng",1624
30096,ixa7mhzutx,9/1/2024 21:30,6,"Mắm nêm hôm này rất chưa,như *** thêm chánh vào vây.. lần trước thầy ngon.lần này ăn nước chấm làm đỡ đi hết món an",1624
30097,Tâm Mộc,9/1/2024 8:50,10,"Hình thức: hộp sạch sẽ, gọn gàng Chất lượng: nêm nếm vừa phải, nước chấm ngon. Ngon xỉu! Đóng gói tốt Giá phải chăng",1624
30098,Ẩn Danh,6/1/2024 14:06,1,Lần nào ăn đậu cũng hôi dầu mất ngon,1624
30099,ppsoftware.vn,4/1/2024 17:01,10,"Bun thit nuong, nem nuong, bo nuong ngon Bun mam niem tai heo ngon Banh trang gion Dong goi can than",1624
30100,Ẩn Danh,1/1/2024 20:11,6,"ăn tạm được, không ngon lắm, nước mắm hơi mặn chứ không ngọt, m",1624
30101,phuonggggg00,31-12-2023 14:23,10,Ngon xỉu! No căng bụng Đóng gói tốt,1624
30102,Thao Vo,30-12-2023 08:48,1,Quá mắc so với chất lượng 39k,1624
30103,Ẩn Danh,27-12-2023 17:51,10,"Hài lòng về sản phẩm dịch vụ của quán, đóng gói cẩn thận, đầy đủ ",1624
30104,foodee_6mzai8e6,27-12-2023 14:31,10,Okokokokokokokokokokokokokokokok omokokomomomomookkok tiết canh ngon,1624
30105,Mia,26-12-2023 12:59,10,Tưởng hộp bự,1624
30106,foodee_a13be7e2,26-12-2023 00:50,10,"Cá nhân mình thấy ngon nha,vừa ăn luôn, thịt nhìu, nói chung là ok a Hình ảnh mang tính chất nhận xu Ngon xỉu!",1624
30107,Ẩn Danh,17-11-2023 18:27,10,"ăn ở đây nhiều lần rồi, ngon lắm luôn. Quán chuẩn bị đồ ăn siêu siêu anh Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng",1624
30108,jane137,17-11-2023 09:37,8,"Bún nhiều tưởng ăn ko hết nhưng cuối cùng lại vẫn hết. Bánh ngon, thơm mùi lá chuối, dẻo,",1624
30109,khánh linh,15-11-2023 13:18,8,"Ăn cũng bth, tạm ổn à, sạch sẽ. Đóng gói tốt. Bánh bột lọc giao đến còn nóng hổi Bún Nem Nướng",1624
30110,mei,14-11-2023 12:02,8,Ngon nhưg thêm bún nữa sẽ no hơn hihi,1624
30111,Ẩn Danh,14-11-2023 11:53,10,"Ngonnnnnnnnnn---------------------------n nnnnnnnnnnn Thích: Bún đặc biệt(thịt nướng,nem nướng,bò lá lốt)",1624
30112,Hồng Thu,11/11/2023 11:08,10,Ngon xỉu Đóng gói tốt No căng bụng Giá phải chăng99999999999 Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng,1624
